info-network_id,info-layer_i,info-layer_j,info-layer_distance,r2_y_given_hip1,r2_y_given_hip1_hi,delta_r2_y_hi_given_hip1,r2_residual_y_given_hi_after_hip1,cmi_proxy_hi_y_given_hip1,varfrac_yhat_from_hip1,varfrac_yhat_from_hip1_hi,varfrac_increment_hi_given_hip1,nonlin_mse_rev,nonlin_prop_perfect_perdim_avg,cka,trustworthiness,dec_lin_i,dec_lin_j,dec_lin_diff,dec_lin_ratio,cond_gain_R2,grad_norm_i,grad_norm_j,grad_norm_diff,grad_norm_rel_diff,grad_norm_log_ratio,y_nonlin_asym,label-starts_skip,label-skip_start_count,label-recieved_skips,label-num_recieved_skips,label-not_in_skip_range,split
1a89af81-e4aa-4c11-8312-a21ec174817a,1,0,-1,-1.7639121026550801,0.1428768705908597,3.022813558508686,2.1164637492743794,2.6571599907985917,-1.5220081902031728,0.08221868548054148,2.518361760434371,0.34130732532162145,-0.11249876537739534,0.033328967449174414,0.3217699861428073,0.20163507061918007,-0.29352610893819875,2.1054296415211846,-0.002278910195149377,2.2246633209337303,-1.2642846490933364,-1.2259786104509225,-0.6275802796051119,-0.7915241231495517,-0.7440784590275774,0.03358215783071461,1,1,0,0,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,2,1,-1,0.1694938596413193,0.14216321626940262,-0.10741181695154443,-0.7258048935295288,-0.4955311711479368,0.1283407064376327,0.08206948007615926,-0.11850529463433383,0.41923704248859395,-0.10653234413874225,0.24080525970211666,0.2912614554299389,0.2016093295514371,0.20774066875170533,-0.020889732402281404,-0.0022860376018897757,-0.07684732552693228,-1.0562822220990755,-1.133878454875149,-0.49900951760133583,-0.04360251775834623,-0.11169459724128276,0.03358215720405747,1,3,1,1,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,3,2,-1,0.16760132887557466,0.14618563153579703,-0.0996254459826267,0.737072970515998,0.45202751648953493,0.12492196479622489,0.08817584940365397,-0.10660424136686064,0.37091809183405167,0.2678600595935133,0.3479406694509255,0.29126145542993437,0.2024163120251792,0.20771477364583588,-0.01733645498746877,-0.0022860267908613326,-0.07409034363739714,-0.8426156081308589,-0.9058687823266645,-0.44334418379174745,-0.010756840510214553,-0.08280421028545631,0.033582156513097455,0,0,1,1,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,4,3,-1,0.17313772450573076,0.14623343613149273,-0.10853045624110574,0.411493269103995,0.4694562525374905,0.1338384125907074,0.08842084099356552,-0.12059142670700664,1.1536081249026893,-0.5838450474790351,-1.4086108901632697,0.07770174043984432,0.20187253196910895,0.20852658521484355,-0.02310023342154274,-0.0022860443263993504,-0.07876309353534781,-0.6287101645423835,-0.671650098489957,-0.38956362990775395,-0.009485279541340541,-0.08158605131974597,0.033582157373127884,1,1,0,0,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,5,4,-1,0.17320460713750443,0.14623514343848185,-0.10863670692631497,0.48788150196032737,0.0819981361983089,0.13408886094708364,0.08847978633850666,-0.12092940341151787,1.4848317377399458,-0.7330053295073737,-0.43749396747641733,-0.0138238516987699,0.20184357326789812,0.20797955110335115,-0.020903462222276816,-0.002286037643646691,-0.07876309353534781,-0.3346942701718302,-0.4371696125949903,-0.292697514400592,0.4434499236372033,0.3270201498776407,0.03358215711859079,0,0,1,1,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,6,5,-1,0.17322318564633046,0.14624026535944926,-0.10866076368523027,-0.7017569995521288,0.067212203067485,0.13419098551958658,0.08849636471677134,-0.12107508302553133,1.8065025425822205,-0.7330053295073737,0.21306244555408915,0.16922733257845401,0.20163828825264796,0.207950419109248,-0.021655856358025395,-0.0022860399327473756,-0.07876309353534781,0.04231489488417497,-0.11487304727015676,-0.181945560072221,0.8803731792321748,0.7503302764424947,0.03358215680640555,0,0,1,1,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,7,6,-1,0.17321946994456527,0.14624026535944926,-0.10865474949550144,0.23935627636872797,0.347420097666118,0.13415815976413922,0.08853504759938896,-0.12098184807256271,0.8760646564532729,-0.8001274128559781,0.3194056622691515,-0.9392492833225597,0.20163796648930116,0.20774390563993902,-0.02078126682431765,-0.002286037271879224,-0.07876309353534781,0.5481566423800459,0.29839970879518074,-0.03854322769628355,1.4827798366925473,1.4074454416586113,0.03358215728738302,0,0,1,1,0,train
1a89af81-e4aa-4c11-8312-a21ec174817a,8,7,-1,0.17322318564633046,0.14624026535944926,-0.10866076368523027,-1.4373968654564904,1.2164407590020407,0.13427487356128542,0.08852031126315367,-0.12118385713732804,0.5935301941450793,1.538705045108747,0.2859241322001412,-1.9562003070849368,0.20063889129752716,0.20774358195111564,-0.02504300295089354,-0.0022860502383626824,-0.07876309353534781,1.0407812649657564,0.8528971388230964,0.083854051224775,1.4254473413513977,1.3400310263411512,0.03358215755559269,0,0,1,1,0,train
dd250f9e-9ea5-4b0f-b671-830f9e54364e,1,0,-1,-0.09661603081190773,-0.08154180390255261,0.06063466772135191,-0.6765253466112932,-0.5378635663004289,-0.13467626696879728,-0.1717473331982973,0.03406399392453953,0.030331359960964067,-1.4540086030034554,-0.8864820819093714,0.3522785168556757,0.15999503238476573,0.1399900085101344,0.08891587599302578,-0.0022856992969113956,0.04793025643313398,0.3523040897171109,0.6087741493156198,-0.32994353954338496,-1.1469359694395658,-1.035672608526988,0.0335821557264139,1,3,0,0,0,train
dd250f9e-9ea5-4b0f-b671-830f9e54364e,2,1,-1,-0.0002951325197425785,0.1311545008034811,0.15448008424992482,1.7991059795523214,0.9903526183257159,-0.0436115425141854,0.07015146814587547,0.14365002677002717,-0.21334596241318635,-1.4631446670492767,0.36522037999952084,0.39295655780617594,0.2001485239570236,0.16585145074196764,0.15055727584442757,-0.0022855119147883875,0.10688954029181814,0.3946477202012869,0.6382060073504199,-0.27533465592968287,-1.0503696520605033,-0.9566431760609123,0.03358215720637911,1,1,0,0,0,train
